timestamp,cycle_sec,timestep,speed_mph,accel_meters_ps
2009-01-19 15:57:33,151,1,42.2243028893,0.193684729217
2009-01-19 15:57:34,152,1,42.3797400025,0.155437113187
2009-01-19 15:57:35,153,1,42.5330300563,0.153290053801
2009-01-19 15:57:36,154,1,42.6872188791,0.154188822846
2009-01-19 15:57:37,155,1,42.8160424422,0.12882356313
2009-01-19 15:57:38,156,1,42.889608353,0.0735659107276
2009-01-19 15:57:39,157,1,42.9071343493,0.0175259963793
2009-01-19 15:57:40,158,1,42.9017417351,-0.0053926142706
2009-01-19 15:57:41,159,1,42.9192677314,0.0175259963793
2009-01-19 15:57:42,160,1,42.9938655622,0.0745978307424
2009-01-19 15:57:43,161,1,43.1273327654,0.133467203196
2009-01-19 15:57:44,162,1,43.2855161173,0.158183351936
2009-01-19 15:57:45,163,1,43.4189833205,0.133467203196
2009-01-19 15:57:46,164,1,43.493614439,0.0746311184848
2009-01-19 15:57:47,165,1,43.5112902302,0.0176757912201
2009-01-19 15:57:48,166,1,43.5050987101,-0.0061915200884
2009-01-19 15:57:49,167,1,43.51778134,0.0126826298585
2009-01-19 15:57:50,168,1,43.5868866932,0.0691053532447
2009-01-19 15:57:51,169,1,43.7369811238,0.15009443053
2009-01-19 15:57:52,170,1,43.9648024328,0.227821309059
2009-01-19 15:57:53,171,1,44.2267936095,0.261991176644
2009-01-19 15:57:54,172,1,44.4576773908,0.230883781361
2009-01-19 15:57:55,173,1,44.6119161453,0.15423875446
2009-01-19 15:57:56,174,1,44.6848163012,0.0729001558794
2009-01-19 15:57:57,175,1,44.7024920924,0.0176757912201
2009-01-19 15:57:58,176,1,44.6989303039,-0.0035617884379
2009-01-19 15:57:59,177,1,44.6948858432,-0.0040444607029
2009-01-19 15:58:00,178,1,44.6939870742,-0.000898769045101
2009-01-19 15:58:01,179,1,44.6929218664,-0.0010652077571
2009-01-19 15:58:02,180,1,44.6881284315,-0.0047934349072
2009-01-19 15:58:03,181,1,44.6849328083,-0.0031956232714
2009-01-19 15:58:04,182,1,44.7104977944,0.0255649861714
2009-01-19 15:58:05,183,1,44.799975246,0.0894774516
2009-01-19 15:58:06,184,1,44.958158598,0.158183351936
2009-01-19 15:58:07,185,1,45.1456351632,0.187476565257
2009-01-19 15:58:08,186,1,45.3038185152,0.158183351936
2009-01-19 15:58:09,187,1,45.3924304855,0.0886119702973
2009-01-19 15:58:10,188,1,45.4149662871,0.0225358016121
2009-01-19 15:58:11,189,1,45.4130688858,-0.0018974013175
2009-01-19 15:58:12,190,1,45.431643446,0.0185745602652
2009-01-19 15:58:13,191,1,45.4825071164,0.0508636704036
2009-01-19 15:58:14,192,1,45.5393958682,0.0568887517799
2009-01-19 15:58:15,193,1,45.5679900389,0.0285941707308
2009-01-19 15:58:16,194,1,45.5482836954,-0.0197063435071
2009-01-19 15:58:17,195,1,45.4709396259,-0.0773440694913
2009-01-19 15:58:18,196,1,45.3322296033,-0.138710022625
2009-01-19 15:58:19,197,1,45.1291077991,-0.20312180419
2009-01-19 15:58:20,198,1,44.8639376431,-0.265170156044
2009-01-19 15:58:21,199,1,44.5712718118,-0.292665831275
2009-01-19 15:58:22,200,1,44.3217801824,-0.249491629368
2009-01-19 15:58:23,201,1,44.1843184501,-0.137461732285
2009-01-19 15:58:24,202,1,44.1875140734,0.0031956232714
2009-01-19 15:58:25,203,1,44.3042042544,0.116690181021
2009-01-19 15:58:26,204,1,44.4650839135,0.160879659071
2009-01-19 15:58:27,205,1,44.5978021425,0.132718228992
2009-01-19 15:58:28,206,1,44.6710018881,0.0731997455612
2009-01-19 15:58:29,207,1,44.7181373313,0.0471354432536
2009-01-19 15:58:30,208,1,44.8040529945,0.085915663162
2009-01-19 15:58:31,209,1,44.9542972199,0.150244225371
2009-01-19 15:58:32,210,1,45.1382785722,0.183981352304
2009-01-19 15:58:33,211,1,45.3172334754,0.1789549032
2009-01-19 15:58:34,212,1,45.4794113564,0.162177881025
2009-01-19 15:58:35,213,1,45.633500316,0.154088959619
2009-01-19 15:58:36,214,1,45.781730633,0.148230316955
2009-01-19 15:58:37,215,1,45.9014167108,0.119686077838
2009-01-19 15:58:38,216,1,45.9703556253,0.0689389145326
2009-01-19 15:58:39,217,1,46.0126976337,0.0423420083464
2009-01-19 15:58:40,218,1,46.0864965586,0.0737989249246
2009-01-19 15:58:41,219,1,46.2201135566,0.133616998037
2009-01-19 15:58:42,220,1,46.3792289654,0.159115408723
