timestamp,cycle_sec,timestep,Speed (mph),accel_meter_ps
3/21/2006 6:10,16.6,1,20.7,-0.11
3/21/2006 6:10,16.6,1,20.6,-0.1
3/21/2006 6:10,16.6,1,20.49,-0.11
3/21/2006 6:10,16.6,1,20.39,-0.1
3/21/2006 6:10,16.6,1,20.28,-0.11
3/21/2006 6:10,16.6,1,20.18,-0.1
3/21/2006 6:10,16.6,1,20.07,-0.11
3/21/2006 6:11,16.6,1,19.96,-0.11
3/21/2006 6:11,16.6,1,19.86,-0.1
3/21/2006 6:11,16.6,1,19.75,-0.11
3/21/2006 6:11,16.6,1,19.65,-0.1
3/21/2006 6:11,16.6,1,19.54,-0.11
3/21/2006 6:11,16.6,1,19.44,-0.1
3/21/2006 6:11,16.6,1,19.33,-0.11
3/21/2006 6:11,16.6,1,19.23,-0.1
3/21/2006 6:11,16.6,1,19.12,-0.11
3/21/2006 6:11,16.6,1,19.02,-0.1
3/21/2006 6:11,16.6,1,18.91,-0.11
3/21/2006 6:11,16.6,1,18.81,-0.1
3/21/2006 6:11,16.6,1,18.7,-0.11
3/21/2006 6:11,16.6,1,18.6,-0.1
3/21/2006 6:11,16.6,1,18.49,-0.11
3/21/2006 6:11,16.6,1,18.39,-0.1
3/21/2006 6:11,16.6,1,18.28,-0.11
3/21/2006 6:11,16.6,1,18.18,-0.1
3/21/2006 6:11,16.6,1,18.07,-0.11
3/21/2006 6:11,16.6,1,17.97,-0.1
3/21/2006 6:11,16.6,1,17.86,-0.11
3/21/2006 6:11,16.6,1,17.76,-0.1
3/21/2006 6:11,16.6,1,17.65,-0.11
3/21/2006 6:11,16.6,1,17.55,-0.1
3/21/2006 6:11,16.6,1,17.44,-0.11
3/21/2006 6:11,16.6,1,17.34,-0.1
3/21/2006 6:11,16.6,1,17.23,-0.11
3/21/2006 6:11,16.6,1,17.13,-0.1
3/21/2006 6:11,16.6,1,17.02,-0.11
3/21/2006 6:11,16.6,1,16.92,-0.1
3/21/2006 6:11,16.6,1,16.81,-0.11
3/21/2006 6:11,16.6,1,16.71,-0.1
3/21/2006 6:11,16.6,1,16.6,-0.11
3/21/2006 6:11,16.6,1,16.5,-0.1
3/21/2006 6:11,16.6,1,16.39,-0.11
3/21/2006 6:11,16.6,1,16.29,-0.1
3/21/2006 6:11,16.6,1,16.18,-0.11
3/21/2006 6:11,16.6,1,16.08,-0.1
3/21/2006 6:11,16.6,1,15.97,-0.11
3/21/2006 6:11,16.6,1,15.87,-0.1
3/21/2006 6:11,16.6,1,15.76,-0.11
3/21/2006 6:11,16.6,1,15.66,-0.1
3/21/2006 6:11,16.6,1,15.55,-0.11
3/21/2006 6:11,16.6,1,15.45,-0.1
3/21/2006 6:11,16.6,1,15.34,-0.11
3/21/2006 6:11,16.6,1,15.24,-0.1
3/21/2006 6:11,16.6,1,15.13,-0.11
3/21/2006 6:11,16.6,1,15.03,-0.1
3/21/2006 6:11,16.6,1,14.92,-0.11
3/21/2006 6:11,16.6,1,14.82,-0.1
3/21/2006 6:11,16.6,1,14.71,-0.11
3/21/2006 6:11,16.6,1,14.61,-0.1
3/21/2006 6:11,16.6,1,14.5,-0.11
3/21/2006 6:11,16.6,1,14.4,-0.1
3/21/2006 6:11,16.6,1,14.29,-0.11
3/21/2006 6:11,16.6,1,14.19,-0.1
3/21/2006 6:11,16.6,1,14.08,-0.11
3/21/2006 6:11,16.6,1,13.98,-0.1
3/21/2006 6:11,16.6,1,13.87,-0.11
3/21/2006 6:11,16.6,1,13.77,-0.1
3/21/2006 6:12,16.6,1,13.66,-0.11
3/21/2006 6:12,16.6,1,13.56,-0.1
3/21/2006 6:12,16.6,1,13.45,-0.11
3/21/2006 6:12,16.6,1,13.35,-0.1
3/21/2006 6:12,16.6,1,13.24,-0.11
3/21/2006 6:12,16.6,1,13.13,-0.11
3/21/2006 6:12,16.6,1,13.03,-0.1
3/21/2006 6:12,16.6,1,12.92,-0.11
3/21/2006 6:12,16.6,1,12.82,-0.1
3/21/2006 6:12,16.6,1,12.71,-0.11
3/21/2006 6:12,16.6,1,12.61,-0.1
3/21/2006 6:12,16.6,1,12.5,-0.11
3/21/2006 6:12,16.6,1,12.4,-0.1
3/21/2006 6:12,16.6,1,12.29,-0.11
3/21/2006 6:12,16.6,1,12.19,-0.1
3/21/2006 6:12,16.6,1,12.08,-0.11
3/21/2006 6:12,16.6,1,11.98,-0.1
3/21/2006 6:12,16.6,1,11.87,-0.11
3/21/2006 6:12,16.6,1,11.77,-0.1
3/21/2006 6:12,16.6,1,11.66,-0.11
3/21/2006 6:12,16.6,1,11.56,-0.1
3/21/2006 6:12,16.6,1,11.45,-0.11
3/21/2006 6:12,16.6,1,11.35,-0.1
3/21/2006 6:12,16.6,1,11.24,-0.11
3/21/2006 6:12,16.6,1,11.14,-0.1
3/21/2006 6:12,16.6,1,11.03,-0.11
3/21/2006 6:12,16.6,1,10.93,-0.1
3/21/2006 6:12,16.6,1,10.82,-0.11
3/21/2006 6:12,16.6,1,10.72,-0.1
3/21/2006 6:12,16.6,1,10.61,-0.11
3/21/2006 6:12,16.6,1,10.51,-0.1
3/21/2006 6:12,16.6,1,10.4,-0.11
3/21/2006 6:12,16.6,1,10.3,-0.1
3/21/2006 6:12,16.6,1,10.19,-0.11
3/21/2006 6:12,16.6,1,10.09,-0.1
3/21/2006 6:12,16.6,1,9.98,-0.11
3/21/2006 6:12,16.6,1,9.88,-0.1
3/21/2006 6:12,16.6,1,9.77,-0.11
3/21/2006 6:12,16.6,1,9.67,-0.1
3/21/2006 6:12,16.6,1,9.56,-0.11
3/21/2006 6:12,16.6,1,9.46,-0.1
3/21/2006 6:12,16.6,1,9.35,-0.11
3/21/2006 6:12,16.6,1,9.25,-0.1
3/21/2006 6:12,16.6,1,9.14,-0.11
3/21/2006 6:12,16.6,1,9.04,-0.1
3/21/2006 6:12,16.6,1,8.93,-0.11
3/21/2006 6:12,16.6,1,8.83,-0.1
3/21/2006 6:12,16.6,1,8.72,-0.11
3/21/2006 6:12,16.6,1,8.62,-0.1
3/21/2006 6:12,16.6,1,8.51,-0.11
3/21/2006 6:12,16.6,1,8.41,-0.1
3/21/2006 6:12,16.6,1,8.3,-0.11
3/21/2006 6:12,16.6,1,8.2,-0.1
3/21/2006 6:12,16.6,1,8.09,-0.11
3/21/2006 6:12,16.6,1,7.99,-0.1
3/21/2006 6:12,16.6,1,7.88,-0.11
3/21/2006 6:12,16.6,1,7.78,-0.1
3/21/2006 6:12,16.6,1,7.67,-0.11
3/21/2006 6:12,16.6,1,7.57,-0.1
3/21/2006 6:12,16.6,1,7.46,-0.11
3/21/2006 6:13,16.6,1,7.36,-0.1
3/21/2006 6:13,16.6,1,7.25,-0.11
3/21/2006 6:13,16.6,1,7.15,-0.1
3/21/2006 6:13,16.6,1,7.04,-0.11
3/21/2006 6:13,16.6,1,6.94,-0.1
3/21/2006 6:13,16.6,1,6.83,-0.11
3/21/2006 6:13,16.6,1,6.73,-0.1
3/21/2006 6:13,16.6,1,6.62,-0.11
3/21/2006 6:13,16.6,1,6.51,-0.11
3/21/2006 6:13,16.6,1,6.41,-0.1
3/21/2006 6:13,16.6,1,6.3,-0.11
3/21/2006 6:13,16.6,1,6.2,-0.1
3/21/2006 6:13,16.6,1,6.09,-0.11
3/21/2006 6:13,16.6,1,5.99,-0.1
3/21/2006 6:13,16.6,1,5.88,-0.11
3/21/2006 6:13,16.6,1,5.78,-0.1
3/21/2006 6:13,16.6,1,5.67,-0.11
3/21/2006 6:13,16.6,1,5.57,-0.1
3/21/2006 6:13,16.6,1,5.46,-0.11
3/21/2006 6:13,16.6,1,5.36,-0.1
3/21/2006 6:13,16.6,1,5.25,-0.11
3/21/2006 6:13,16.6,1,5.15,-0.1
3/21/2006 6:13,16.6,1,5.04,-0.11
3/21/2006 6:13,16.6,1,4.94,-0.1
3/21/2006 6:13,16.6,1,4.83,-0.11
3/21/2006 6:13,16.6,1,4.73,-0.1
3/21/2006 6:13,16.6,1,4.62,-0.11
3/21/2006 6:13,16.6,1,4.52,-0.1
3/21/2006 6:13,16.6,1,4.41,-0.11
3/21/2006 6:13,16.6,1,4.31,-0.1
3/21/2006 6:13,16.6,1,4.2,-0.11
3/21/2006 6:13,16.6,1,4.1,-0.1
3/21/2006 6:13,16.6,1,3.99,-0.11
3/21/2006 6:13,16.6,1,3.89,-0.1
3/21/2006 6:13,16.6,1,3.78,-0.11
3/21/2006 6:13,16.6,1,3.68,-0.1
3/21/2006 6:13,16.6,1,3.57,-0.11
3/21/2006 6:13,16.6,1,3.47,-0.1
3/21/2006 6:13,16.6,1,3.36,-0.11
3/21/2006 6:13,16.6,1,3.26,-0.1
3/21/2006 6:13,16.6,1,3.15,-0.11
3/21/2006 6:13,16.6,1,3.05,-0.1
3/21/2006 6:13,16.6,1,2.94,-0.11
3/21/2006 6:13,16.6,1,2.84,-0.1
3/21/2006 6:13,16.6,1,2.73,-0.11
3/21/2006 6:13,16.6,1,2.63,-0.1
3/21/2006 6:13,16.6,1,2.52,-0.11
3/21/2006 6:13,16.6,1,2.42,-0.1
3/21/2006 6:13,16.6,1,2.31,-0.11
3/21/2006 6:13,16.6,1,2.21,-0.1
3/21/2006 6:13,16.6,1,2.1,-0.11
3/21/2006 6:13,16.6,1,2,-0.1
3/21/2006 6:13,16.6,1,1.89,-0.11
3/21/2006 6:13,16.6,1,1.79,-0.1
3/21/2006 6:13,16.6,1,1.68,-0.11
3/21/2006 6:13,16.6,1,1.58,-0.1
3/21/2006 6:13,16.6,1,1.47,-0.11
3/21/2006 6:13,16.6,1,1.37,-0.1
3/21/2006 6:13,16.6,1,1.26,-0.11
3/21/2006 6:13,16.6,1,1.16,-0.1
3/21/2006 6:14,16.6,1,1.05,-0.11
3/21/2006 6:14,16.6,1,0.95,-0.1
3/21/2006 6:14,16.6,1,0.84,-0.11
3/21/2006 6:14,16.6,1,0.74,-0.1
3/21/2006 6:14,16.6,1,0.63,-0.11
3/21/2006 6:14,16.6,1,0.53,-0.1
3/21/2006 6:14,16.6,1,0.42,-0.11
3/21/2006 6:14,16.6,1,0.32,-0.1
3/21/2006 6:14,16.6,1,0.21,-0.11
3/21/2006 6:14,22.13,1,22.49,22.28
3/21/2006 6:14,22.13,1,22.38,-0.11
3/21/2006 6:14,22.13,1,22.28,-0.1
3/21/2006 6:14,22.13,1,22.17,-0.11
3/21/2006 6:14,22.13,1,22.07,-0.1
3/21/2006 6:14,22.13,1,21.96,-0.11
3/21/2006 6:14,22.13,1,21.86,-0.1
3/21/2006 6:14,22.13,1,21.75,-0.11
3/21/2006 6:14,22.13,1,21.65,-0.1
3/21/2006 6:14,22.13,1,21.54,-0.11
3/21/2006 6:14,22.13,1,21.44,-0.1
3/21/2006 6:14,22.13,1,21.33,-0.11
3/21/2006 6:14,22.13,1,21.23,-0.1
3/21/2006 6:14,22.13,1,21.12,-0.11
3/21/2006 6:14,22.13,1,21.02,-0.1
3/21/2006 6:14,22.13,1,20.91,-0.11
3/21/2006 6:14,22.13,1,20.81,-0.1
3/21/2006 6:14,22.13,1,20.7,-0.11
3/21/2006 6:14,22.13,1,20.6,-0.1
3/21/2006 6:14,22.13,1,20.49,-0.11
3/21/2006 6:14,22.13,1,20.39,-0.1
3/21/2006 6:14,22.13,1,20.28,-0.11
3/21/2006 6:14,22.13,1,20.18,-0.1
3/21/2006 6:14,22.13,1,20.07,-0.11
3/21/2006 6:14,22.13,1,19.96,-0.11
3/21/2006 6:14,22.13,1,19.86,-0.1
3/21/2006 6:14,22.13,1,19.75,-0.11
3/21/2006 6:14,22.13,1,19.65,-0.1
3/21/2006 6:14,22.13,1,19.54,-0.11
3/21/2006 6:14,22.13,1,19.44,-0.1
3/21/2006 6:14,22.13,1,19.33,-0.11
3/21/2006 6:14,22.13,1,19.23,-0.1
3/21/2006 6:14,22.13,1,19.12,-0.11
3/21/2006 6:14,22.13,1,19.02,-0.1
3/21/2006 6:14,22.13,1,18.91,-0.11
3/21/2006 6:14,22.13,1,18.81,-0.1
3/21/2006 6:14,22.13,1,18.7,-0.11
3/21/2006 6:14,22.13,1,18.6,-0.1
3/21/2006 6:14,22.13,1,18.49,-0.11
3/21/2006 6:14,22.13,1,18.39,-0.1
3/21/2006 6:14,22.13,1,18.28,-0.11
3/21/2006 6:14,22.13,1,18.18,-0.1
3/21/2006 6:14,22.13,1,18.07,-0.11
3/21/2006 6:14,22.13,1,17.97,-0.1
3/21/2006 6:14,22.13,1,17.86,-0.11
